canonical_slug,team_display,ncaa_id,espn_id,appearances,avg_seed,conference,her_hoop_stats,espn,ncaa,college_sports_madness,the_ix,cbssports,usatoday,the_athletic
texas,Texas,,,8,1,SEC,1,1,1,1,1,1,1,1
uconn,UConn,,,8,1,BE,1,1,1,1,1,1,1,1
south-carolina,South Carolina,,,8,1.125,SEC,1,1,1,1,2,1,1,1
ucla,UCLA,,,8,1.125,B10,1,1,1,1,2,1,1,1
lsu,LSU,,,8,2,SEC,2,2,2,2,2,2,2,2
duke,Duke,,,8,2.25,ACC,2,2,2,2,3,2,2,3
iowa,Iowa,,,8,2.625,B10,2,2,2,2,7,2,2,2
vanderbilt,Vanderbilt,,,8,2.625,SEC,2,2,2,2,7,2,2,2
michigan,Michigan,,,8,2.75,B10,3,3,3,3,2,3,3,2
louisville,Louisville,,,8,3,ACC,3,3,3,3,3,3,3,3
tcu,TCU,,,8,3.375,B12,3,3,3,3,6,3,3,3
ohio-state,Ohio St.,,,8,3.5,B10,3,3,3,3,6,3,3,4
oklahoma,Oklahoma,,,8,4,SEC,4,4,4,4,5,4,4,3
west-virginia,West Virginia,,,8,4.125,B12,4,4,4,4,4,4,4,5
maryland,Maryland,,,8,4.25,B10,4,4,4,5,5,4,4,4
minnesota,Minnesota,,,8,4.375,B10,4,4,4,5,5,4,5,4
ole-miss,Ole Miss,,,7,5.143,SEC,5,5,5,4,,6,5,6
kentucky,Kentucky,,,8,5.5,SEC,5,5,5,6,9,5,5,4
michigan-state,Michigan St,,,8,5.5,B10,5,5,5,5,9,5,5,5
north-carolina,North Carolina,,,8,5.625,ACC,5,5,5,4,12,5,4,5
baylor,Baylor,,,8,5.875,B12,6,6,6,6,4,6,7,6
notre-dame,Notre Dame,,,8,6.125,ACC,6,6,6,5,8,5,6,7
texas-tech,Texas Tech,,,8,6.375,B12,7,6,7,6,3,7,7,8
washington,Washington,,,8,6.375,B10,7,7,7,7,4,6,6,7
north-carolina-state,NC State,,,8,6.5,ACC,6,8,6,6,7,7,7,5
illinois,Illinois,,,8,6.875,B10,7,7,7,10,1,8,7,8
alabama,Alabama,,,8,7,SEC,6,6,6,7,13,6,6,6
georgia,Georgia,,,8,7,SEC,7,7,7,7,7,7,8,6
oregon,Oregon,,,8,7,B10,8,7,8,10,3,7,6,7
tennessee,Tennessee,,,7,7.857,SEC,8,8,8,8,,8,8,7
virginia-tech,Virginia Tech,,,8,8,ACC,8,9,9,8,1,9,9,11
usc,USC,,,8,8.125,B10,9,9,8,7,8,8,8,8
oklahoma-state,Oklahoma St,,,8,8.375,B12,9,8,8,8,9,9,8,8
mississippi-state,Mississippi St,,,2,8.5,SEC,FFO,NFO,,,6,NFO,FFO,11
syracuse,Syracuse,,,8,8.875,ACC,10,9,9,9,8,8,9,9
villanova,Villanova,,,8,8.875,BE,9,8,9,8,10,9,9,9
iowa-state,Iowa St.,,,7,9.143,B12,8,9,9,,10,10,9,9
colorado,Colorado,,,8,9.875,B12,10,10,10,9,8,11,11,10
columbia,Columbia,,,1,10,Ivy,,,,,,,NFO,10
rhode-island,Rhode Island,,,8,10.25,A10,10,11,10,10,11,10,11,9
princeton,Princeton,,,8,10.375,Ivy,9,10,11,10,14,9,10,10
nebraska,Nebraska,,,7,10.429,B10,11,11,11,11,6,11,12,
gonzaga,Gonzaga,,,5,10.6,WCC,12,12,12,12,5,,,
clemson,Clemson,,,8,10.75,ACC,10,10,10,9,16,10,10,11
byu,BYU,,,1,11,B12,FFO,FFO,,,FFO,11,FFO,NFO
n-dakota-state,N Dakota St,,,1,11,Sum,FFO,FFO,,,FFO,NFO,FFO,11
stanford,Stanford,,,1,11,ACC,,NFO,,11,NFO,FFO,NFO,
utah,Utah,,,1,11,B12,FFO,FFO,,11,FFO,FFO,,
virginia,Virginia,,,8,11.125,ACC,11,12,11,9,13,11,11,11
south-dakota-state,South Dakota St,,,7,11.143,Sum,11,10,12,12,13,10,10,
rice,Rice,,,6,11.167,Amer,,11,10,11,,12,11,12
richmond,Richmond,,,6,11.167,A10,11,11,11,,13,FFO,10,11
fairfield,Fairfield,,,8,11.25,MAAC,11,11,11,11,14,11,11,10
arizona-state,Arizona St,,,7,11.286,B12,11,12,11,11,11,11,12,
colorado-state,Colorado St,,,5,11.8,MWC,13,13,12,12,9,,,
james-madison,James Madison,,,5,12,SB,12,12,,12,12,,12,
ball-state,Ball St.,,,2,12,MAC,12,,,,,,,12
georgia-southern,Georgia Southern,,,1,12,SB,,,,,,,,12
montana-state,Montana St.,,,1,12,BSky,12,,,,,,,
troy,Troy,,,1,12,SB,,,,,,12,,
la-tech,La. Tech,,,8,12.25,CUSA,13,14,15,13,4,13,13,13
mcneese-state,McNeese St,,,6,12.667,Slnd,14,,13,,11,12,13,13
miami-oh,Miami (OH),,,6,12.833,MAC,,13,14,13,12,13,12,
san-diego-state,San Diego State,,,1,13,MWC,,,,,,,,13
south-fla,South Fla.,,,1,13,Amer,13,,,,,,,
green-bay,Green Bay,,,8,13.125,Horz,15,13,13,13,10,14,14,13
uc-irvine,UC Irvine,,,7,13.143,BW,13,13,13,14,12,14,13,
murray-state,Murray St,,,8,13.25,MVC,14,12,15,13,14,12,12,14
western-illinois,Western Illinois,,,8,13.5,OVC,14,15,13,15,11,13,13,14
loyola-marymount,Loyola Marymount,,,4,13.5,WCC,,,12,,,15,15,12
stephen-f-austin,Stephen F. Austin,,,1,14,Slnd,,,,14,,,,
charleston,Charleston,,,8,14.125,CAA,15,14,14,14,15,13,14,14
idaho,Idaho,,,7,14.143,BSky,,14,14,15,14,14,14,14
navy,Navy,,,5,14.2,Pat,,,16,,10,15,15,15
vermont,Vermont,,,8,14.25,AE,14,14,15,14,13,15,14,15
unlv,UNLV,,,2,14.5,MWC,,,,,,14,15,
abilene-christian,Abilene Christian,,,1,15,WAC,15,,,,,,,
uc-san-diego,UC San Diego,,,1,15,BW,,,,,,,,15
jacksonville,Jacksonville,,,7,15.429,ASun,15,15,15,15,16,16,16,
fdu,FDU,,,8,15.5,NEC,16,16,16,15,15,15,15,16
high-point,High Point,,,8,15.5,BSth,16,16,14,16,15,16,16,15
holy-cross,Holy Cross,,,2,15.5,Pat,,15,,16,,,,
ca-baptist,CA Baptist,,,7,15.714,WAC,,15,16,16,15,16,16,16
alabama-a-and-m,Alabama A&M,,,8,16,SWAC,16,16,16,16,16,16,16,16
howard,Howard,,,8,16,MEAC,16,16,16,16,16,16,16,16
samford,Samford,,,7,16,SC,16,16,16,16,16,16,16,
army-west-point,Army West Point,,,1,16,Pat,16,,,,,,,
chattanooga,Chattanooga,,,1,16,SC,,,,,,,,16
e-kentucky,Eastern Kentucky,,,1,16,ASun,,,,,,,,16
sf-austin,SF Austin,,,1,16,,,16,,,,,,
florida,Florida,,,0,99.0,SEC,,,,,,,FFO,
indiana,Indiana,,,0,99.0,B10,,NFO,,,NFO,NFO,,
kansas,Kansas,,,0,99.0,B12,,,,,,NFO,,
kansas-state,Kansas State,,,0,99.0,B12,,NFO,,,NFO,,NFO,
texas-a-and-m,Texas A&M,,,0,99.0,SEC,,FFO,,,NFO,FFO,NFO,
